bin,balls
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 1
10, 10
11, 16
12, 50
13, 108
14, 215
15, 363
16, 550
17, 769
18, 1034
19, 1235
20, 1270
21, 1193
22, 1093
23, 838
24, 511
25, 374
26, 189
27, 99
28, 46
29, 24
30, 9
31, 2
32, 1
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
