bin,balls
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 1
21, 4
22, 3
23, 10
24, 28
25, 63
26, 93
27, 152
28, 201
29, 366
30, 462
31, 635
32, 749
33, 850
34, 910
35, 911
36, 939
37, 854
38, 755
39, 601
40, 452
41, 365
42, 239
43, 163
44, 82
45, 48
46, 32
47, 22
48, 3
49, 1
50, 5
51, 0
52, 0
53, 1
54, 0
55, 0
56, 0
57, 0
58, 0
59, 0
60, 0
61, 0
62, 0
63, 0
64, 0
65, 0
66, 0
67, 0
68, 0
69, 0
70, 0
